media_id,pull_date,caption,media_type,product_type,permalink,timestamp,like_count,comments_count,reach,likes,comments,saved,shares,total_interactions,views,avg_watch_time_sec,total_watch_time_sec,post_type,publish_date_est,publish_year,publish_month,publish_month_name,publish_weekday,publish_hour_est,publish_time_label,engagement_rate,engagement_rate_followers,rewatch_rate,profile_visits,follows
18168276991362210,2026-08-16,"Want your resume to stand out? Join us for our Power-Up Your Resume Workshop this Wednesday, Sept 10th from 1:30 – 3:00 PM at CASE 132!  -Learn tips to highlight your skills, showcase your experiences, and grab recruiter attention. 🎟 Plus, attend & receive a raffle ticket for a chance to win an MSI Claw 7 AI -Open to everyone – don’t miss it!  👉 Register now at go.fiu.edu/init   Register for SHELLHACKS: shellhacks.net ‼️  #fiu #technology #workshop #computerscience #resume #init #shellhacks",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DOQ9mh4Df1k/,2025-09-06T15:00:00+0000,28,0,852,28,0,1,8,37,4835,,,IG carousel,2025-09-06,2025,9,September,Saturday,11,11 AM,4.343,0.626,5.675,9.0,0.0
17867548542442729,2026-08-16,Huge thank you to NextEra Energy for sponsoring ShellHacks 2025‼️ Check them out at ShellHacks to learn more about their internships and career opportunities in tech!  🔗 Register now at shellhacks.net ‼️  #fiu #shellhacks #nexteraenergy #hackathon #technology,IMAGE,FEED,https://www.instagram.com/p/DORf9Y2Dn4M/,2025-09-06T20:00:00+0000,16,0,665,16,0,0,1,17,3876,,,IG image,2025-09-06,2025,9,September,Saturday,16,4 PM,2.556,0.288,5.829,6.0,0.0
18089598763694195,2026-08-16,"Ever wanted to bring characters to life in a game? Join us for our Create Your Own NPC Workshop this Wednesday, Sept 10th from 4:30 – 6:30 PM at VH 131!  -Learn how to build a basic NPC with movement and behaviors using Unity 🎟 Attend & receive a raffle ticket for a chance to win an MSI Claw 7 AI -Open to everyone – no experience needed!  👉 Register today at go.fiu.edu/init   Make sure to register for SHELLHACKS: shellhacks.net‼️  #fiu #workshop #init #technology #hackathon",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DOTibn_jApK/,2025-09-07T15:00:00+0000,43,0,1063,43,0,2,9,55,5633,,,IG carousel,2025-09-07,2025,9,September,Sunday,11,11 AM,5.174,0.93,5.299,21.0,0.0
18067620320187046,2026-08-16,"Want to sharpen your cybersecurity skills? Join us for our Best Security Practices Workshop this Wednesday, Sept 11th from 4:30 – 6:30 PM at PG5 155!  -Learn how to hack responsibly while exploring SQL injections, leaks, and more 🎟 Attend & receive a raffle ticket for a chance to win an MSI Claw 7 AI -Open to everyone – come level up your security knowledge!  👉 Register now at go.fiu.edu/init  Make sure to register for SHELLHACKS: shellhacks.net‼️  #fiu #technology #workshop #init",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DOWHOTojrZo/,2025-09-08T15:00:00+0000,29,0,951,29,0,1,7,38,5438,,,IG carousel,2025-09-08,2025,9,September,Monday,11,11 AM,3.996,0.643,5.718,15.0,0.0
17938831521062328,2026-08-16,Huge thank you to American Express for sponsoring ShellHacks 2025‼️ Check them out at ShellHacks to learn more about their internships and career opportunities in tech!  🔗 Register now at shellhacks.net ‼️  #fiu #shellhacks #americanexpress #hackathon #technology,IMAGE,FEED,https://www.instagram.com/p/DOWqzP4D83S/,2025-09-08T20:11:30+0000,25,0,835,25,0,4,4,33,4529,,,IG image,2025-09-08,2025,9,September,Monday,16,4 PM,3.952,0.558,5.424,20.0,0.0
18082875859910434,2026-08-16,"Big thank you to @nvidia for sponsoring ShellHacks 2025!  At ShellHacks, you’ll get the chance to: - Learn more about NVIDIA’s cutting-edge opportunities - Explore internships, new grad roles, and career pathways 🛠️ Join their exclusive workshop on Saturday, Sept 27 to dive deeper into what they’re building ✨Network directly with recruiters and discover how you can be part of NVIDIA’s journey in AI, graphics, and beyond✨  👉Reminder: Registration closes September 15 — don’t miss your chance to be part of the largest hackathon in Florida!  ‼️Apply now at shellhacks.net‼️  #nvidia #fiu #init #hackathon #technology",VIDEO,REELS,https://www.instagram.com/reel/DOZBIWgiSgs/,2025-09-09T18:05:00+0000,89,1,2057,89,1,8,42,143,4078,7.8,19876.49,IG reel,2025-09-09,2025,9,September,Tuesday,14,2 PM,6.952,2.418,1.982,,
18050851445265101,2026-08-16,The second wave of ShellHacks acceptances is out — check your email!  Haven’t applied yet? The deadline is September 15 and it’s approaching fast ⏳ Don’t miss your chance to be part of the ShellHacks experience!  🔗 Apply now at shellhacks.net 🌊  #fiu #shellhacks #hackathon #technology #applynow,IMAGE,FEED,https://www.instagram.com/p/DObk8lUCYYT/,2025-09-10T17:56:33+0000,27,0,1138,27,0,0,7,35,4720,,,IG image,2025-09-10,2025,9,September,Wednesday,13,1 PM,3.076,0.592,4.148,15.0,1.0
18478266109077567,2026-08-16,"Excited to welcome Assurant back for their 7th year at ShellHacks!  They’ll be joining us once again to connect with students and share their amazing internship and full-time opportunities 🌟. Don’t miss your chance to meet their team, learn about career pathways, and explore how you can grow with Assurant!  ‼️Reminder: Registration for ShellHacks closes September 15 – secure your spot today‼️  👉 Apply now at shellhacks.net  We can’t wait to have Assurant back at ShellHacks 2025 💙💛  #fiu #weareinit #assurant #computerscience #technology #hackathon",VIDEO,REELS,https://www.instagram.com/reel/DObsTulj1fb/,2025-09-10T19:00:00+0000,49,4,1114,49,4,0,6,61,2149,4.9,6909.22,IG reel,2025-09-10,2025,9,September,Wednesday,15,3 PM,5.476,1.032,1.929,,
18283888570273113,2026-08-16,"🚨 FINAL CALL – ShellHacks Registration Closes Monday! 🚨  Don’t miss your chance to be part of Florida’s largest hackathon later this month! Registration ends this Monday, September 15th - if you’ve been putting it off, be sure to register ASAP! ShellHacks is open to students of all majors and skill levels. Register now at ShellHacks.net (Link in Bio!)  ✅ Learn new skills at our workshops, build cool projects with fellow students, and win awesome prizes  ✅ Meet recruiters from Google, Microsoft, Xbox, Netflix, NVIDIA, and more - and potentially land an internship or full time job  ✅ Connect with 1,400+ students from across Florida and make friends you’ll keep long after the weekend.  👉 Haven’t signed up yet? Sign up now at ShellHacks.net (and enter to win a Nintendo Switch 2 w/Mario Kart!)  👉 Already registered? Share with your friends and student orgs so they don’t miss out! If you’re looking to form a team, your friends must also be registered.  This is your last chance to secure your spot! We can’t wait to see you at a very special ShellHacks this year 🎉",IMAGE,FEED,https://www.instagram.com/p/DOeBNvwjv-E/,2025-09-11T16:42:03+0000,97,1,3201,97,1,12,48,170,12190,,,IG image,2025-09-11,2025,9,September,Thursday,12,12 PM,5.311,2.875,3.808,73.0,9.0
17921599608079074,2026-08-16,"We’re excited to welcome @statefarm back to ShellHacks 2025!  They’ll be here to: -Host workshops to help you sharpen your skills -Connect you with recruiters and engineers about upcoming internships and full-time roles -Launch a special challenge for hackers to complete and showcase their talent!  This is your chance to learn, network, and take on real-world problems with one of the most recognized companies in the nation.  ‼️Reminder: Registration for ShellHacks closes September 15 – don’t miss it‼️  👉 Apply now at shellhacks.net  We can’t wait to have State Farm back at ShellHacks! 💙💛  #fiu #computerscience #statefarm #init #hackathon",VIDEO,REELS,https://www.instagram.com/reel/DOeevEGD-4k/,2025-09-11T21:00:00+0000,76,1,1518,76,1,1,7,87,2780,5.8,9536.2,IG reel,2025-09-11,2025,9,September,Thursday,17,5 PM,5.731,1.471,1.831,,
18040209164429571,2026-08-16,"META IS COMING TO FIU!  Get ready for an exclusive inside look at AI, engineering, and the recruiting game from Meta themselves. Learn what it takes to stand out, hear from real engineers, and connect with recruiters who want to meet you. 👀💥  #MetaCareers #TechAtFIU #WeAreINIT #BreakIntoTech",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DOgwwLkibhN/,2025-09-12T18:15:55+0000,135,0,1560,135,0,11,26,174,9018,,,IG carousel,2025-09-12,2025,9,September,Friday,14,2 PM,11.154,2.943,5.781,8.0,4.0
18040110389431236,2026-08-16,"We’re excited to have Base 44 and Wix joining us at ShellHacks 2025!  Make sure to: 🤝 Stop by their table and meet the team - Join their workshop on Saturday at 1PM to learn about web development using Base 44 - Take on one of their two challenges for a chance to win awesome prizes - Get access to a free premium builder on Base 44  This is the perfect chance to sharpen your skills, connect with industry professionals, and level up your web development journey!  ‼️Reminder: Registration for ShellHacks closes September 15 – apply now and don’t miss out‼️  👉 Apply today at shellhacks.net  Thank you to Base 44 and Wix for being part of ShellHacks 2025 💙💛  #fiu #wix #base44 #hackathon #weareinit #computerscience #technology",VIDEO,REELS,https://www.instagram.com/reel/DOhNJEiD0fI/,2025-09-12T22:27:44+0000,14,0,974,14,0,1,1,16,1653,3.78,4404.8,IG reel,2025-09-12,2025,9,September,Friday,18,6 PM,1.643,0.271,1.697,,
18071550422143701,2026-08-16,"Here are all the Pre-ShellHacks workshops happening this week!  Whether you’re designing, building, or pitching — there’s something for you 💡  • UI/UX Fundamentals – Sep 16 • How to Succeed in ShellHacks – Sep 17 • Popular ML Models – Sep 18  🎟️ Reminder: Every workshop you attend = another raffle ticket for the MSI Claw 7 AI",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DOjGClcDDrg/,2025-09-13T16:00:00+0000,50,1,1029,50,1,5,9,68,5126,,,IG carousel,2025-09-13,2025,9,September,Saturday,12,12 PM,6.608,1.15,4.982,22.0,0.0
18071355020131415,2026-08-16,Huge thank you to MLT for sponsoring ShellHacks 2025‼️ Check them out at ShellHacks to learn more about their internships and career opportunities in tech!  🔗 Register now at shellhacks.net ‼️  #fiu #shellhacks #mlt #hackathon #technology,IMAGE,FEED,https://www.instagram.com/p/DOjan4bjhXS/,2025-09-13T19:00:00+0000,9,0,555,9,0,0,1,10,3572,,,IG image,2025-09-13,2025,9,September,Saturday,15,3 PM,1.802,0.169,6.436,3.0,0.0
18373776109180829,2026-08-16,Huge thank you to Capital One for sponsoring ShellHacks 2025‼️ Check them out at ShellHacks to learn more about their internships and career opportunities in tech!  🔗 Register now at shellhacks.net ‼️  #fiu #shellhacks #capitalone #hackathon #technology,IMAGE,FEED,https://www.instagram.com/p/DOlq3EcjiEY/,2025-09-14T16:00:00+0000,12,0,731,12,0,1,0,13,3886,,,IG image,2025-09-14,2025,9,September,Sunday,12,12 PM,1.778,0.22,5.316,5.0,0.0
18018720968761755,2026-08-16,Huge thank you to Brooksource for sponsoring ShellHacks 2025‼️ Check them out at ShellHacks to learn more about their internships and career opportunities in tech!  🔗 Register now at shellhacks.net ‼️  #fiu #shellhacks #brooksource #hackathon #technology,IMAGE,FEED,https://www.instagram.com/p/DOl4mxfDhaP/,2025-09-14T18:00:00+0000,9,0,746,9,0,0,0,9,4033,,,IG image,2025-09-14,2025,9,September,Sunday,14,2 PM,1.206,0.152,5.406,4.0,0.0
18073272377135334,2026-08-16,"We’re excited to welcome Microsoft back to ShellHacks 2025!  Here’s what they’ve got planned: - Their challenge: “AI 4 Good” — build projects using AI for sustainability, accessibility, wellness, and community impact - A workshop on Immersive AI Agents — don’t miss this chance to dive deep into the future of AI 🤝 Meet the team at the career fair to learn more about internships, new grad roles, and opportunities at Microsoft  This is your chance to innovate, connect, and create with one of the biggest names in tech!  ‼️Reminder: Registration for ShellHacks closes September 15 – apply now and secure your spot‼️  👉 Apply today at shellhacks.net  Thank you to Microsoft for supporting ShellHacks 2025 💙💛  #fiu #microsoft #computerscience #weareinit #hackathon #technology #ai",VIDEO,REELS,https://www.instagram.com/reel/DOoPr2ZDkXh/,2025-09-15T16:00:00+0000,105,4,2022,105,4,5,9,127,4056,6.84,17889.78,IG reel,2025-09-15,2025,9,September,Monday,12,12 PM,6.281,2.148,2.006,,
18056136110172164,2026-08-16,Huge thank you to GitHub for sponsoring ShellHacks 2025‼️ Check them out at ShellHacks to learn more about their internships and career opportunities in tech!  👉Register now at shellhacks.net ‼️  #fiu #shellhacks #github #hackathon #technology,IMAGE,FEED,https://www.instagram.com/p/DOoda6fjk2W/,2025-09-15T18:00:00+0000,17,0,779,17,0,3,0,20,4217,,,IG image,2025-09-15,2025,9,September,Monday,14,2 PM,2.567,0.338,5.413,9.0,0.0
