pull_date,breakdown,segment,follower_count
2026-08-16,city,"San Francisco, California",33
2026-08-16,country,IR,6
2026-08-16,country,PK,19
2026-08-16,country,CA,61
2026-08-16,city,"Miami, Florida",310
2026-08-16,city,"Miami Beach, Florida",31
2026-08-16,city,"Sunrise, Florida",32
2026-08-16,country,TT,8
2026-08-16,country,DE,11
2026-08-16,country,PR,7
2026-08-16,country,BD,11
2026-08-16,city,"Temple Terrace, Florida",36
2026-08-16,country,JM,5
2026-08-16,country,TW,6
2026-08-16,country,ID,12
2026-08-16,country,DO,8
2026-08-16,country,EC,9
2026-08-16,country,OM,5
2026-08-16,country,GB,15
2026-08-16,country,US,5084
2026-08-16,country,KE,13
2026-08-16,country,DZ,7
2026-08-16,country,MA,10
2026-08-16,country,BR,23
2026-08-16,city,"Cutler Bay, Florida",37
2026-08-16,country,FR,5
2026-08-16,country,RU,4
2026-08-16,country,EG,5
2026-08-16,country,CR,4
2026-08-16,country,ES,22
2026-08-16,country,KN,4
2026-08-16,country,AE,5
2026-08-16,country,IN,154
2026-08-16,country,ZA,5
2026-08-16,country,KR,5
2026-08-16,country,AL,5
2026-08-16,country,MX,24
2026-08-16,country,CO,22
2026-08-16,country,GH,4
2026-08-16,country,CL,11
2026-08-16,country,VE,13
2026-08-16,city,"Miami Gardens, Florida",40
2026-08-16,country,NG,23
2026-08-16,country,AZ,5
2026-08-16,country,VN,14
2026-08-16,country,PH,9
2026-08-16,city,"Bangalore, Karnataka",28
2026-08-16,country,AR,15
2026-08-16,country,NI,5
2026-08-16,country,PA,4
2026-08-16,country,PE,17
2026-08-17,age,65+,61
2026-08-17,city,"Miami Lakes, Florida",50
2026-08-17,city,"Kendale Lakes, Florida",69
2026-08-17,age,13-17,3
2026-08-17,age,18-24,1887
2026-08-17,age,25-34,2757
2026-08-17,age,35-44,668
2026-08-17,age,45-54,294
2026-08-17,age,55-64,142
2026-08-17,gender,F,1595
2026-08-17,city,"Fort Lauderdale, Florida",37
2026-08-17,gender,U,1548
2026-08-17,city,"Davie, Florida",66
2026-08-17,city,"Gainesville, Florida",40
2026-08-17,city,"Coral Terrace, Florida",23
2026-08-17,city,"Kendall, Florida",76
2026-08-17,city,"Hialeah, Florida",116
2026-08-17,city,"Olympia Heights, Florida",30
2026-08-17,city,"Princeton, Florida",43
2026-08-17,city,"Ives Estates, Florida",27
2026-08-17,city,"Coral Springs, Florida",36
2026-08-17,gender,M,2669
2026-08-17,city,"North Miami Beach, Florida",34
2026-08-17,country,TR,6
2026-08-17,city,"The Hammocks, Florida",95
2026-08-17,city,"Seattle, Washington",60
2026-08-17,city,"Coral Gables, Florida",25
2026-08-17,country,PL,4
2026-08-17,city,"Union Park, Florida",41
2026-08-17,city,"Pembroke Pines, Florida",121
2026-08-17,city,"Homestead, Florida",49
2026-08-17,city,"North Miami, Florida",41
2026-08-17,city,"Country Club, Florida",53
2026-08-17,city,"West Kendall, Florida",68
2026-08-17,city,"Doral, Florida",161
2026-08-17,city,"San Francisco, California",33
2026-08-17,city,"Tamiami, Florida",91
2026-08-17,city,"Richmond West, Florida",46
2026-08-17,city,"Charlotte, North Carolina",29
2026-08-17,city,"South Miami Heights, Florida",24
2026-08-17,city,"Hollywood, Florida",58
2026-08-17,city,"Orlando, Florida",26
2026-08-17,city,"Tampa, Florida",28
2026-08-17,city,"Plantation, Florida",39
2026-08-17,city,"Westchester, Florida",51
2026-08-17,city,"The Crossings, Florida",34
2026-08-17,city,"Weston, Florida",47
2026-08-17,city,"Sweetwater, Florida",436
2026-08-17,city,"New York, New York",88
2026-08-17,city,"Miramar, Florida",123
2026-08-17,city,"Bangalore, Karnataka",28
2026-08-17,country,TW,6
2026-08-17,country,CA,61
2026-08-17,city,"Miami, Florida",310
2026-08-17,city,"Miami Beach, Florida",31
2026-08-17,city,"Sunrise, Florida",32
2026-08-17,country,TT,8
2026-08-17,country,DE,11
2026-08-17,country,PR,7
2026-08-17,country,BD,11
2026-08-17,city,"Temple Terrace, Florida",36
2026-08-17,country,US,5084
2026-08-17,country,JM,5
2026-08-17,country,DO,8
2026-08-17,country,KE,13
2026-08-17,country,FR,5
2026-08-17,country,OM,5
2026-08-17,country,GB,15
2026-08-17,country,ID,12
2026-08-17,country,EC,9
2026-08-17,country,DZ,7
2026-08-17,country,MA,10
2026-08-17,country,BR,23
2026-08-17,city,"Cutler Bay, Florida",37
2026-08-17,country,CO,22
2026-08-17,country,RU,4
2026-08-17,city,"Miami Gardens, Florida",40
2026-08-17,country,EG,5
2026-08-17,country,CR,4
2026-08-17,country,KN,4
2026-08-17,country,AE,5
2026-08-17,country,IN,154
2026-08-17,country,ZA,5
2026-08-17,country,KR,5
2026-08-17,country,CL,11
2026-08-17,country,AL,5
2026-08-17,country,MX,24
2026-08-17,country,ES,22
2026-08-17,country,IR,6
2026-08-17,country,GH,4
2026-08-17,country,VE,13
2026-08-17,country,NI,5
2026-08-17,country,NG,23
2026-08-17,country,AZ,5
2026-08-17,country,VN,14
2026-08-17,country,PK,19
2026-08-17,country,PE,17
2026-08-17,country,AR,15
2026-08-17,country,PA,4
2026-08-17,country,PH,9
2026-08-24,country,FR,6
2026-08-24,country,EC,9
2026-08-24,country,OM,5
2026-08-24,country,GB,15
2026-08-24,country,ID,12
2026-08-24,country,KE,13
2026-08-24,country,DZ,6
2026-08-24,country,MA,10
2026-08-24,country,BR,24
2026-08-24,country,DO,9
2026-08-24,city,"Cutler Bay, Florida",31
2026-08-24,country,TW,6
2026-08-24,country,JM,5
2026-08-24,country,HK,4
2026-08-24,country,BD,10
2026-08-24,country,PR,10
2026-08-24,country,DE,11
2026-08-24,country,TT,8
2026-08-24,city,"Sunrise, Florida",34
2026-08-24,city,"Miami Beach, Florida",31
2026-08-24,city,"Miami, Florida",319
2026-08-24,country,JP,4
2026-08-24,country,CA,61
2026-08-24,country,PK,19
2026-08-24,country,EG,6
2026-08-24,city,"Miami Gardens, Florida",38
2026-08-24,country,NI,5
2026-08-24,country,NG,23
2026-08-24,country,AZ,5
2026-08-24,country,VN,14
2026-08-24,country,PH,9
2026-08-24,country,PE,17
2026-08-24,country,AR,15
2026-08-24,country,PA,4
2026-08-24,country,VE,13
2026-08-24,country,US,5106
2026-08-24,country,CR,4
2026-08-24,country,CO,23
2026-08-24,country,MX,24
2026-08-24,country,AL,5
2026-08-24,country,CL,10
2026-08-24,country,IR,6
2026-08-24,country,ZA,5
2026-08-24,country,KR,5
2026-08-24,country,IN,155
2026-08-24,country,AE,5
2026-08-24,country,KN,4
2026-08-24,country,ES,23
2026-08-24,city,"Bangalore, Karnataka",27
2026-08-24,city,"North Miami Beach, Florida",29
2026-08-24,city,"New York, New York",87
2026-08-24,city,"Fort Lauderdale, Florida",36
2026-08-24,city,"Coral Springs, Florida",35
2026-08-24,city,"Ives Estates, Florida",25
2026-08-24,city,"Glenvar Heights, Florida",24
2026-08-24,city,"Princeton, Florida",43
2026-08-24,city,"Olympia Heights, Florida",30
2026-08-24,city,"Hialeah, Florida",127
2026-08-24,city,"Kendall, Florida",77
2026-08-24,city,"Gainesville, Florida",40
2026-08-24,city,"Davie, Florida",64
2026-08-24,gender,U,1556
2026-08-24,gender,M,2682
2026-08-24,gender,F,1605
2026-08-24,age,65+,61
2026-08-24,age,55-64,143
2026-08-24,age,45-54,295
2026-08-24,age,35-44,676
2026-08-24,age,25-34,2773
2026-08-24,age,18-24,1891
2026-08-24,age,13-17,4
2026-08-24,country,PL,4
2026-08-24,city,"Seattle, Washington",58
2026-08-24,city,"Kendale Lakes, Florida",64
2026-08-24,city,"Miami Lakes, Florida",46
2026-08-24,city,"Miramar, Florida",126
2026-08-24,city,"San Francisco, California",36
2026-08-24,city,"The Hammocks, Florida",89
2026-08-24,city,"Weston, Florida",51
2026-08-24,city,"The Crossings, Florida",34
2026-08-24,city,"Westchester, Florida",48
2026-08-24,city,"Plantation, Florida",44
2026-08-24,city,"Tampa, Florida",32
2026-08-24,city,"Orlando, Florida",23
2026-08-24,city,"Hollywood, Florida",61
2026-08-24,city,"South Miami Heights, Florida",25
2026-08-24,city,"Charlotte, North Carolina",30
2026-08-24,city,"Richmond West, Florida",44
2026-08-24,city,"Sweetwater, Florida",426
2026-08-24,city,"Tamiami, Florida",98
2026-08-24,city,"Doral, Florida",160
2026-08-24,city,"West Kendall, Florida",77
2026-08-24,city,"Country Club, Florida",53
2026-08-24,city,"North Miami, Florida",37
2026-08-24,city,"Homestead, Florida",51
2026-08-24,city,"Pembroke Pines, Florida",125
2026-08-24,city,"Union Park, Florida",41
2026-08-24,city,"Temple Terrace, Florida",33
2026-08-24,city,"Coral Gables, Florida",27
2026-08-24,country,TR,6
